------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                          Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   aten::clone         0.25%      28.000us         0.41%      47.000us      47.000us      14.000us         0.11%      49.000us      49.000us             1  
           aten::empty_strided         0.03%       3.000us         0.03%       3.000us       3.000us       9.000us         0.07%       9.000us       9.000us             1  
                   aten::copy_         0.14%      16.000us         0.14%      16.000us      16.000us      26.000us         0.21%      26.000us      26.000us             1  
                      aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.03%       4.000us       4.000us             1  
                  aten::detach         0.11%      12.000us         0.13%      15.000us      15.000us      53.000us         0.43%      65.000us      65.000us             1  
                        detach         0.03%       3.000us         0.03%       3.000us       3.000us      12.000us         0.10%      12.000us      12.000us             1  
                     aten::eye         0.33%      38.000us         1.46%     166.000us     166.000us      17.000us         0.14%     206.000us     206.000us             1  
                   aten::empty         0.02%       2.000us         0.02%       2.000us       2.000us       9.000us         0.07%       9.000us       9.000us             1  
                     aten::eye         0.74%      84.000us         1.11%     126.000us     126.000us     107.000us         0.86%     180.000us     180.000us             1  
                 aten::resize_         0.04%       4.000us         0.04%       4.000us       4.000us       8.000us         0.06%       8.000us       8.000us             1  
                   aten::zero_         0.11%      12.000us         0.23%      26.000us      26.000us      13.000us         0.11%      35.000us      35.000us             1  
                   aten::fill_         0.12%      14.000us         0.12%      14.000us      14.000us      22.000us         0.18%      22.000us      22.000us             1  
              aten::as_strided         0.01%       1.000us         0.01%       1.000us       1.000us      10.000us         0.08%      10.000us      10.000us             1  
                   aten::fill_         0.10%      11.000us         0.10%      11.000us      11.000us      20.000us         0.16%      20.000us      20.000us             1  
                     aten::mul         0.31%      35.000us         0.31%      35.000us      35.000us       8.000us         0.06%       8.000us       8.000us             1  
                  aten::detach         0.11%      12.000us         0.12%      14.000us      14.000us      12.000us         0.10%      18.000us      18.000us             1  
                        detach         0.02%       2.000us         0.02%       2.000us       2.000us       6.000us         0.05%       6.000us       6.000us             1  
                aten::diagonal         0.16%      18.000us         0.17%      19.000us      19.000us      18.000us         0.15%      20.000us      20.000us             1  
------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.402ms
Self CUDA time total: 12.374ms
